TRAIT_NAME_CHASTE;Chaste;Chaste;Keuschheit;Casto;Puro;;;;;;X
TRAIT_DESC_SUSPICIOUS;The Character is very wary of what is said by others. While being suspicious is a good trait for a leader in these times to have, being too suspicious is going to lead to jealousy and ineffective decision making as the ruler may become so involved with rooting out conspiracies and plots they devote nothing to governance. (Effects: +1 intrigue, -2 diplomacy);Le personnage fait très attention à ce que disent les autres.  Alors qu'être soupçonneux est probablement une vertu pour un souverain pendant cette époque, être trop soupçonneux conduira à la jalousie ou à l'incapacité à prendre des décisions, car le souverain devient si préoccupé par des conspirations parfois imaginaires  et des complots parfois inexistants, qu'il ne consacre plus assez de temps pour gouverner.;Der Charakter glaubt wenig und neigt dazu, Gehörtem solange keinen Glauben zu schenken, bis ein Beweis erbracht für oder gegen die Behauptung erbracht wurde. Obwohl Argwohn für einen Herrscher grundsätzlich eine gute Eigenschaft ist, kann zuviel Argwohn zu Eifersucht und Ineffektivität führen. Es kann dann passieren, dass der Herrscher so mit dem Aufdecken von Verschwörungen und deren Ausmerzung beschäftigt ist, dass seine Fähigkeit zu herrschen darunter leidet.;El personaje no se fía de lo que dicen los demás.  Si bien ser desconfiado es un rasgo valioso para un líder de esta época, el exceso de recelo conduce a decisiones ineficaces, ya que el gobernante se dedica tanto a desentrañar conspiraciones y complots que se olvida de gobernar.;Il personaggio diffida molto di ciò che gli viene detto. Di questi tempi essere sospettoso è una caratteristica utile per un leader, ma esserlo troppo porta alla paranoia e all'incapacità di prendere decisioni di governo, perché può preoccuparsi tanto di sradicare cospirazioni e complotti da non avere più tempo ed energie da dedicare al governo.;;;;;;X
TRAIT_NAME_VALOROUS;Valorous;Valeureux;Tapferkeit;Valiente;Valoroso;;;;;;X
TRAIT_DESC_VALOROUS;The Character is brave and courageous and is willing to place themself in harm's way to achieve an end, regardless of the danger involved. This character is glorified as the true knight, and is a great warrior, although there will be a reluctance to have one's image tarnished in the eyes of others. Richard the 'Lionheart' was most definitely a Valourous person. (Effects: +1 martial, -2 intrigue, +2 yearly prestige);Le personnage est brave et courageux et il est prêt à se mettre en danger pour atteindre son but, quel que soit le risque encouru. Ce personnage est glorifié comme un vrai chevalier, et c'est un grand guerrier. Richard 'Cœur de Lion' était à coup sûr un homme valeureux.;Der Charakter ist tapfer und mutig und ist bereit, sich selbst ohne Rücksicht auf mögliche Schäden in Gefahr zu begeben. Dieser Charakter wird als wahrer Ritter angesehen und er ist ein großer Krieger. König Richard 'Löwenherz' z.B. war so eine tapfere Person.;El personaje es arrojado y audaz y no tendrá inconveniente en arriesgarse con tal de conseguir su meta, independientemente del peligro que ello implique. Es admirado como gran guerrero y auténtico caballero. Ricardo Corazón de León era sin duda una persona valiente.;Il personaggio è audace e coraggioso e disposto a mettersi in gioco per raggiungere un fine, indipendentemente dal pericolo che può correre. Questo carattere è considerato il vero cavaliere, ed è un grande guerriero. Riccardo Cuordileone era decisamente una persona valorosa.;;;;;;X
TRAIT_NAME_COWARD;Coward;Lâche;Feigheit;Cobarde;Codardo;;;;;;X
TRAIT_DESC_COWARD;The Character is consumed with fear at the very thought of direct physical danger. They spend their time in life avoiding dangers, even scheming to arrange for others to stand in their place, and thus tend to make rather poor warriors. They would rather have others do the fighting as they sit at home where it is safe. (Effects: +1 intrigue, -1 martial);Le personnage est dévoré par la peur à toute pensée de danger. Etant donné qu'il passe son temps à éviter les dangers, il a tendance à faire un piètre guerrier et un chef inefficace car il est sans cesse préoccupé par sa sécurité. Il préfère que les autres aillent au combat pendant qu'il reste bien au chaud chez lui.;Der Charakter wird von der Furcht vor möglichen Gefahren verzehrt. Da derartige Charaktere die meiste  Zeit ihres Lebens damit verbringen, Gefahren zu vermeiden, neigen sie dazu, schlechte Kämpfer und schwache Führer zu sein. Sie sind ständig um ihre Sicherheit besorgt, sitzen stattdessen lieber zu Hause wo es sicher ist und überlassen anderen das Kämpfen.;El personaje se muere de miedo sólo con pensar en el peligro. Como se pasan la vida evitando los riesgos, estas personas suelen ser malos guerreros y gobernantes poco eficaces, pues siempre están preocupados por su seguridad. Prefieren que otros peleen mientras ellos se quedan a salvo en su casa.;Il personaggio è in preda alla paura anche solo al pensiero del pericolo. Poiché passa il suo tempo a evitare i rischi, tende ad essere uno scadente guerriero e un leader inefficiente, sempre preoccupato per la sua sicurezza. Preferisce che gli altri combattano mentre lui resta a casa al sicuro.;;;;;;X
TRAIT_NAME_KINSLAYER;Kinslayer;Parricide;Verwandtenmörder;Parricida;Parenticida;;;;;;X
TRAIT_DESC_KINSLAYER;The Character has been known to kill off relatives that were not in league with their ideals. This is an extremely negative trait, causing family members to avoid them like the Plague. (Effects: -2 diplomacy, very poorly regarded);Le personnage est connu pour avoir tué des membres de sa famille qui ne partageait pas ses idéaux. C'est une caractéristique extrêmement négative, poussant les autres et y compris sa propre famille à l'éviter comme la Peste.;Der Charakter ist dafür bekannt, Verwandte, die ihm im Weg stehen, umzubringen. Dies ist ein extrem negativer Charakterzug, der dafür sorgt, dass ihm Verwandte äußerst feindlich gegenüberstehen und es ihnen widerstrebt, mit dem Charakter zu interagieren.;Se sabe que el personaje ha matado a parientes que no estaban de acuerdo con sus ideas. Es un rasgo extremadamente negativo que hace que los familiares de esta persona la eviten como a la peste.;Il personaggio è noto per aver ucciso parenti che non condividevano le sue idee. È una caratteristica estremamente negativa, e fa sì che i membri della sua famiglia lo evitino come la peste.;;;;;;X
TRAIT_NAME_HERETIC;Heretic;Hérétique;Ketzer;Hereje;Eretico;;;;;;X
TRAIT_DESC_HERETIC;The Character has embraced alterior religious practices. The character believes in or prefers a variation on their religion, or in some cases a completely different one they were born into. Naturally, this a negative trait as it goes against their established religion and will cause friction with members of the clergy, even persecution. (Effects: very poorly regarded, more likely to experience religious turmoil events);Le personnage a embrassé des pratiques religieuses déviantes. Il croit ou préfère une variation de sa religion, ou dans certains cas une religion complètement différente de celle dans laquelle il est né. Naturellement, c'est une caractéristique négative car cela va à l'encontre de la religion établie et entraîne des frictions avec les membres du clergé, voire même des persécutions.;Der Charakter bevorzugt einen alternativen religiösen Glauben oder er hat eine völlig andere Religion, als sein unmittelbares Umfeld. Selbstverständlich ist das ein negativer Charakterzug, denn dadurch, das der Charakter sich gegen die fest etablierte Religion stellt, entstehen Spannungen mit dem Klerus und Angehörige der alten Religion begegnen ihm  mit Verachtung und verhalten sich sehr feindselig.;El personaje ha adoptado una práctica religiosa alternativa. Prefiere creer en una variación de su religión, o en algunos casos en una religión totalmente distinta de aquella en cuyo seno nació. Por supuesto, se trata de un rasgo negativo ya que va en contra de su religión oficial y causará roces con el clero e incluso su persecución.;Il personaggio segue pratiche religiose alternative. Preferisce una variante della sua religione o, in alcuni casi, una religione completamente diversa da quella in cui è nato. Naturalmente questa è una caratteristica negativa, perché va contro la religione di stato e provocherà attriti con i membri del clero, o addirittura persecuzione.;;;;;;X
TRAIT_NAME_WAR_INVALID;Severely Wounded;Grièvement blessé;Kriegsinvalide;Gravemente herido;Gravemente ferito;;;;;;X
TRAIT_DESC_WAR_INVALID;The Character has been badly wounded in combat and is no longer eligible for commander of regiments or armies, although he is looked upon as having made a noble sacrifice for a just cause. (Effects: -2 martial, -2 health, +1 yearly piety, +1 yearly prestige);Le personnage a été gravement blessé au combat et n'est plus éligible pour commander des armées.;Der Charakter wurde im Kampf sehr schwer verwundet und ist als Kommandeur von Regimentern oder Heeren nicht mehr länger einsetzbar.;El personaje ha sido gravemente herido en combate y ya no es apto para ser comandante de regimientos o ejércitos.;Il personaggio  ha subito gravi ferite in combattimento e non è più idoneo a comandare reggimenti o eserciti.;;;;;;X
TRAIT_NAME_ILLNESS;Illness;Malade;Krankheit;Enfermedad;Malattia generica;;;;;;X
TRAIT_DESC_ILLNESS;The character has been afflicted with a deadly illness. Although deadly illness in this timeframe meant coughing, sneezing, or visible boils on the skin. The character is in danger of death. (Effects: -1 martial, -1 stewardship, -1 diplomacy, -1 intrigue, -2 health, -5 fertility);Le personnage a été affligé d'une maladie vraisemblablement mortelle. Bien que maladie mortelle puisse signifier à cette époque aussi bien tousser, éternuer, ou avoir des furoncles visibles sur la peau. Il est néanmoins en danger de mort.;Der Charakter hat sich mit einer tödlichen Krankheit infiziert, die ihn schwach und matt macht. Es liegt jetzt an Gott, ihn zu verschonen oder zu sich zu holen.;El personaje sufre una enfermedad mortal. En este período histórico, una enfermedad mortal consistía en toser, estornudar o tener furúnculos visibles en la piel. El personaje corre peligro de muerte.;"Il personaggio ha una malattia mortale. A quei tempi ""malattia mortale"" poteva significare anche solo tosse, raffreddore o foruncoli visibili, ma comunque il personaggio è in pericolo di morte.";;;;;;X
TRAIT_NAME_PLAGUE_INFESTED;Plague-afflicted;Pestiféré;Pest;Apestado;Colpito dalla peste;;;;;;X
TRAIT_DESC_PLAGUE_INFESTED;The illness of character has become worse and it is clear this character has the Plague. The Plague took many forms, the worst of them being the 'Black Death' that originated when Genoese merchant ships arriving back from the Crimea with wounded soldiers landed in Sicily. From there, it spread and decimated hundreds of thousands of people, almost depopulating Europe. It is believed that it originated from the Steppes of Asia, being carried from the Eastern horseriders along with them where at Crimea besieging Genoese holdings there, spread to the defenders and thus the rest of Europe. (Effects: -5 to all attributes, -3 health, infertile);La maladie du personnage a empiré et il est clair que ce personnage a la Peste. La Peste prenait de nombreuses formes, la pire d'entre elles étant la 'Peste Noire' qui fit son apparition quand les navires marchands Génois revinrent de Crimée avec des soldats blessés et débarquèrent en Sicile. A partir de là, elle se propagea et décima des centaines de milliers de personnes, dépeuplant presque l'Europe. On pense qu'elle provenait des Steppes de l'Asie, étant transporté par les cavaliers de l'Est, qui assiégeaient les Génois en Crimée, et se répandit parmi les défenseurs et ainsi au reste de l'Europe.;Die Krankheit des Charakters hat sich zur Pest entwickelt. Das Leben des Charakters ist durch diese sehr schmerzvolle und tödliche Krankheit ernsthaft in Gefahr. Die Pest gab es in vielen Erscheinungsformen, von denen die Schlimmste unter dem Namen 'Der Schwarze Tod' bekannt war. Wahrscheinlich haben Genuesische Handelsschiffe, als sie verwundete Soldaten aus der Krim in Sizilien ausluden, die Krankheit in Europa eingeschleppt. Von Sizilien aus breitete sich die Krankheit weiter aus, tötete dabei hunderttausende von Menschen und entvölkerte dadurch fast ganz Europa. Man vermutet, dass die Krankheit ursprünglich aus den weiten Steppen Asiens stammt und von dort aus durch asiatische Reitervölker in die Genuesischen Besitzungen auf der Krim eingeschleppt wurde.;La enfermedad del personaje ha empeorado y está claro que tiene la peste. La peste adoptó muchas formas, siendo la peor de ellas la 'peste negra', que se originó cuando barcos mercantes genoveses que volvían de Crimea llegaron a Sicilia con soldados heridos. Desde aquí se extendió y diezmó a cientos de miles de personas, casi despoblando Europa. Se cree que se originó en las estepas asiáticas, fue transportada por jinetes orientales hasta Crimea, se contagió a las huestes genovesas que allí se hallaban asediando al enemigo y, a través suyo, se extendió al resto de Europa.;"La malattia del personaggio è peggiorata ed ora è chiaro che ha la peste. La peste assumeva varie forme; la peggiore era la ""morte nera"", portata in Europa dalle navi mercantili genovesi che attraccarono in Sicilia di ritorno dalla Crimea con soldati feriti. Dalla Sicilia dilagò e decimò centinaia di migliaia di persone,  spopolando quasi l'Europa. Si ritiene che abbia avuto origine nelle steppe asiatiche; da lì i cavalieri orientali la portarono in Crimea dove era in corso l'assedio delle proprietà genovesi e contagiarono i difensori che la diffusero in tutta Europa.";;;;;;X
TRAIT_NAME_LEPER;Leper;Lépreux;Lepra;Leproso;Lebbra;;;;;;X
TRAIT_DESC_LEPER;The illness of this character has developed into what is known as Leprosy. These people were shunned by the populace as they were hideous and smelled foul as their limbs became brittle and rotted away. Although the prospect of recovery from such an affliction was rare indeed, it was not impossible. (Effects: -5 martial, -5 diplomacy, -3 health, infertile);La maladie de ce personnage a évolué en ce qui est connu sous le nom de Lèpre. Les Lépreux étaient fuis par le peuple du fait qu'ils étaient hideux et sentaient mauvais à cause de leurs membres et de leur peau qui partaient en lambeaux et pourrissaient. Bien que la perspective de guérison d'une telle affliction fût vraiment rare, cela n'était pas impossible.;Die Krankheit dieses Charakters hat sich zur Lepra entwickelt. Diese Charaktere wurden vom Volk vermieden, weil sie abscheulich aussahen und stanken. Ihre Gliedmaßen wurden zerbrechlich und faulten schließlich. Obwohl die Aussicht auf eine Erholung von der Krankheit äußerst selten war, war eine Heilung nicht unmöglich.;La enfermedad de este personaje ha desembocado en lo que se conoce como lepra. Las muchedumbres rechazaban a estas personas, pues eran repulsivas y olían mal, ya que sus miembros se volvían resecos y putrefactos. Aunque las esperanzas de recuperarse de esta enfermedad eran escasas, no era imposible.;La malattia di questo personaggio si è sviluppata e ora è chiaro che si tratta di lebbra. I lebbrosi erano evitati dal popolo per l'orrendo aspetto e il terribile odore, causati dalle membra che marcivano. Erano davvero scarse le probabilità di guarire da questa malattia, ma non era impossibile.;;;;;;X
TRAIT_NAME_PNEUMONIA;Consumption;Souffre de pneumonie;Lungenentzündung;Neumonía;Polmonite;;;;;;X
TRAIT_DESC_PNEUMONIA;The illness of this character has developed into Consumption. There is not one type of Consumption. These types range from bacterial, viral, mycoplasmas, and some types of fungi. In this period, with no known cures, the person had to rely on their physical constitution to shrug off Consumption. (Effects: -5 to all attributes, -3 health, -3 fertility);La maladie de ce personnage a évolué en pneumonie. Il n'y a pas qu'un type de pneumonie. C'est une maladie qui peut être d'origine bactérienne, virale, causée par des mycoplasmes, et même à certains types de champignon. Bien sûr, personne n'en savait rien durant Dans cette période, et sans remèdes connus, la personne ne pouvait compter que sur sa constitution physique pour se remettre d'une pneumonie.;Die Krankheit dieses Charakters hat sich zur Lungenentzündung entwickelt. Die Ursachen einer Lungenentzündung können sehr unterschiedlich sein. Sowohl Bakterien, Viren, Pilze als auch Parasiten oder, in ganz seltenen Fällen Gifte, können eine Lungenentzündung hervorrufen. In diesem Zeitalter, ohne bekannte Heilmittel, musste sich die Person auf ihre physische Verfassung verlassen, um von einer Lungenentzündung zu genesen.;La enfermedad de este personaje ha desembocado en neumonía. No hay un único tipo de neumonía. Puede ser bacterial, viral, de micoplasmas y de ciertas clases de hongo. En esta época, al no conocerse tratamientos, la persona dependía de su propia constitución para superar la neumonía.;La malattia di questo personaggio si è sviluppata: è polmonite. Non c'è un unico di tipo di polmonite, ma diversi: batterica, virale, da micoplasmi e da alcuni tipi di funghi. Nel periodo medievale, senza cure note, si poteva contare solo sulla propria forte costituzione fisica per guarire dalla polmonite.;;;;;;X
TRAIT_NAME_STRESS_SYMPTOM;Stressed;Stressé;Stress;Estresado;Stressato;;;;;;X
TRAIT_DESC_STRESS_SYMPTOM;The character has become very stressed from events happening in their life. They are erratic, moody and tend to become furious at the smallest thing. Many are confused and unable to deal with this person, as they are bewildered as to what is wrong with them. (Effects: -1 to all attributes, -1 health, -3 fertility);Le personnage est devenu très stressé à cause des événements survenus dans sa vie. Il est lunatique, maussade et a tendance à devenir furieux pour la moindre chose. Beaucoup ne comprennent pas et ne savent pas comment prendre cette personne, étant désorienté par son comportement.;Bestimmte Ereignisse in seinem Leben haben diesen Charakter äußerst stressanfällig gemacht. Der Charakter ist sprunghaft, launisch und neigt dazu, wegen geringster Anlässe wütend zu werden. Viele Menschen sind wegen des Verhaltens von dem Charakter verwirrt und sind nicht in der Lage, mit dieser Person umzugehen.;Los acontecimientos de la vida del personaje le han causado un importante estrés. Se vuelve caprichoso y malhumorado y se enfurece por lo más nimio. Muchos se sienten confundidos e incapaces de tratar con esta persona, pues no entienden qué hacen mal y eso les desconcierta.;Il personaggio è stato molto stressato dagli eventi della sua vita. Questi sono personaggi instabili, lunatici e con la tendenza a infuriarsi per la minima cosa. Molti sono sconcertati e incapaci di trattare con questi personaggi, perché non sanno quale sia il problema.;;;;;;X
TRAIT_NAME_DEPRESSION;Depression;Dépressif;Depression;Depresión;Depressione;;;;;;X
TRAIT_DESC_DEPRESSION;The stress in this person's life has degenerated into deep depression. They have become severely withdrawn from social interactions, even avoiding other people and spending alot of time alone. This person is at severe risk of ending his or her life, and feels helpless, lost, and frustrated at all things. (Effects: -1 to all attributes, -1 health, infertile);Le stress du personnage a dégénéré en profonde dépression. Il s'est complètement retiré de la vie sociale, évitant les autres personnes et passant beaucoup de temps seul.  Cette personne risque de mettre fin à ses jours, et se sent désemparée, perdue, et frustrée par la moindre  chose.;Die Stresssymptome des Charakters haben sich zu einer Depression entwickelt. Das Verhalten des Charakters variiert zwischen normal und tiefer Depression mit Anzeichen von Selbstmordversuchen und Inaktivität. Es ist während dieser Periode kaum möglich, mit dem Charakter zu kommunizieren, zudem ist dieser komplett zeugungsunfähig / unfruchtbar. Im Laufe der Zeit sinkt die Person immer tiefer in seine Depression, nur in sehr seltenen Fällen sind Personen auf natürliche Weise geheilt worden.;El estrés de la vida de esta persona ha degenerado en una depresión profunda. Se ha alejado notablemente de toda relación social, evita a la gente y pasa mucho tiempo a solas. Corre un importante riesgo de acabar con su vida y se siente indefenso, perdido y frustrado con todo.;"Lo stress di queste persone è degenerato in una profonda depressione. Si sono ritirati dalle interazioni sociali; evitano gli altri e passano molto tempo da soli. Si sentono inermi, persi e frustrati; il rischio che si tolgano la vita è alto.";;;;;;X
TRAIT_NAME_SCHIZOFRENIA;Schizophrenia;Schizophrénique;Schizophrenie;Esquizofrenia;Schizofrenia;;;;;;X
TRAIT_DESC_SCHIZOFRENIA;The stress in this person's life has degenerated into Schizophrenia. Although today we diagnose the disease today as a medical disorder, back in these times, it was seen as something you could 'catch'. The schizophrenic person lives in an imaginary world, full of people and objects that are invisible to others. Severely wrought with paranoia and anxiety, they are very hard to deal with and can become violent at a moment's notice. (Effects: -5 martial, -5 stewardship, -5 diplomacy, -1 intrigue, -1 health, -5 fertility);Le stress du personnage a dégénéré en Schizophrénie. Bien que de nos jours nous diagnostiquions la maladie comme un trouble médical, à cette époque, c'était perçu comme quelque chose que vous pouviez 'attraper'. La personne schizophrène vit dans un monde imaginaire, plein de gens et d'objets invisibles aux autres. Gravement torturé par la paranoïa et l'anxiété, il est très difficile de savoir comment l'aborder et elle peut devenir violente en un instant.;Die Krankheit des Charakters hat sich zur Schizophrenie entwickelt. Das Verhalten des Charakters variiert zwischen normal und kurzen Perioden extremen Argwohns gegen alles und jeden. Im Laufe der Zeit verlängern sich die Perioden des geistigen Durcheinanders und im letzten Stadium der Krankheit, entwickelt der Charakter eine gespaltene Persönlichkeit. Während der Perioden das geistigen Chaos macht der Charakter vor nichts halt.;El estrés de la vida de esta persona ha degenerado en esquizofrenia. Aunque hoy en día la enfermedad se diagnostica como un trastorno mental, en aquella época se consideraba una afección como el resto. La persona esquizofrénica vive en un mundo imaginario repleto de gente y objetos invisibles para los demás. Los afectados sufren también paranoia y ansiedad, es muy difícil tratar con ellos y pueden volverse violentos sin previo aviso.;"Lo stress di queste persone è degenerato in schizofrenia. Al giorno d'oggi la schizofrenia è classificata come una disfunzione medica, ma a quei tempi era considerata contagiosa. Gli schizofrenici vivono in un mondo immaginario, pieno di persone e di oggetti invisibili agli altri; sono angustiati da paranoia e ansia, molto difficili da trattare e possono diventare violenti senza preavviso.";;;;;;X
TRAIT_NAME_MANIAC;Crazed;Fou;Manie;Maníaco;Impazzito;;;;;;X
TRAIT_DESC_MANIAC;The stress in this person's life has degenerated into an erratic, crazed state. They are lost in their delusions of grandeur and believe in unseen forces acting on them or others to create events. These people are very hard to deal with as they have abandoned logic and reason for their own world where they are master. (Effects: -5 to all attributes, -1 health, -3 fertility);Le stress du personnage a dégénéré en folie. Il est perdu dans son délire de grandeur et croit en des forces invisibles agissant sur lui ou les autres pour changer le cours des événements. Il est très difficile d'avoir des rapports avec cette personne car elle a abandonné toute logique et raison pour son propre monde où elle règne en maître.;Die Krankheit des Charakters hat sich zur Manie entwickelt. Das Verhalten des Charakters variiert zwischen normal und kurzen Perioden extremer Aktivität. Der Charakter entwickelt hochfliegende Pläne, in deren Umsetzung er oder sie alle Energie steckt, ganz gleich, wie hoch die Kosten sind oder was andere sagen. Im Laufe der Zeit verlängern sich die Perioden des geistigen Durcheinanders und in den späten Stadien der Krankheit macht der Charakter in dem Bestreben, seine Pläne in die Tat umzusetzen vor nichts mehr halt.;El estrés de la vida de esta persona ha degenerado en un estado maníaco e impredecible. Los afectados se pierden en sueños de grandeza y creen en fuerzas invisibles que actúan sobre ellos o los demás determinando los acontecimientos. Es muy complicado tratar con estas personas, ya que han renunciado a la lógica y la razón, pues en su mundo son los amos.;Lo stress di queste persone è degenerato in uno stato folle e instabile. Sono persi nelle loro illusioni di grandezza e credono in forze invisibili che agiscono su loro stessi o su altre persone per provocare eventi. È molto difficile trattare con queste persone perché hanno abbandonato la logica e la ragione a favore dei loro mondi, di cui sono i padroni.;;;;;;X
TRAIT_NAME_HUNCHBACK;Hunchback;Bossu;Bucklig;Jorobado;Gobbo;;;;;;X
TRAIT_DESC_HUNCHBACK;The character was born with a small hump or bump on his back. The person may have trouble walking as the hump curves the character's gait into a limping shuffle. Most believed at the time it was a curse from God or some form of evil, and they were shunned and mocked because of their deformation. (Effects: -1 martial);Le personnage est né avec une bosse sur son dos. La personne a du mal à marcher car la bosse transforme la démarche du personnage en un traînement boiteux. A l'époque on croyait que c'était une malédiction de Dieu ou une forme d'esprit malin, et les gens fuyaient et se moquaient des bossus à cause de leur déformation. ;Der Charakter wurde mit einer kleinen körperlichen Deformierung auf dem Rücken geboren. Die Person hat Schwierigkeiten damit normal zu gehen, da der Buckel die Gehweise des Charakters in ein hinkendes Schlurfen verändert. Zu der Zeit glaubten viele, dass der Buckel ein Fluch Gottes oder ein Zeichen des Teufels war und sie mieden und verspotteten die Unglücklichen, die dieses körperliche Abnormität hatten.;El personaje nació con una pequeña chepa o joroba en la espalda. Puede tener problemas para caminar, ya que la joroba convierte su paso en un cojeo irregular. En su momento se creía que era una maldición de Dios o algo demoníaco, y sufrían burlas y rechazo a causa de su deformidad.;Il personaggio è nato con una gobba o protuberanza nella schiena. Può avere qualche difficoltà di deambulazione, perché la gobba lo fa camminare con passo strascicato e zoppicante. A quei tempi molti credevano che fosse una maledizione divina o un segno di malvagità, e i gobbi venivano evitati e derisi.;;;;;;X
TRAIT_NAME_CLUB_FOOTED;Club-footed;Pied bot;Klumpfuß;Pie zompo;Con piede deforme;;;;;;X
TRAIT_DESC_CLUB_FOOTED;The character was born with a deformed foot, often with one foot being larger that the other one. The character will never be able to run and is impossible for this person to fight on the battlefield to name but one example. In the same category as 'Hunchback', this is something that was a source of insults, hampering their ability to attract a mate. (Effects: -1 martial);Le personnage est né avec un pied déformé, souvent avec une jambe plus grande que l'autre. Le personnage ne pourra jamais marcher correctement et il lui est impossible de combattre sur le champ de bataille par exemple. Dans la même catégorie que le 'Bossu', son handicap est quelquefois une source d'insultes, et en fait un parti difficile à marier.;Der Charakter wurde mit einem deformierten Fuß geboren. Er wird nie in der Lage sein, zu rennen und es ist für ihn unmöglich, auf dem Schlachtfeld zu kämpfen. Unter dieselbe Kategorie wie die 'Buckligen' fallend, hatten es Charaktere mit diesem körperlichen Gebrechen äußerst schwer, einen Partner für's Leben zu finden und sie waren oft das Ziel von beißenden Spott sowie von Beleidigungen.;El personaje ha nacido con una malformación que a menudo consiste en que un pie sea más grande que el otro. Nunca podrá correr y es imposible que esta persona entre en combate, por poner un ejemplo. Se encuadraba en la misma categoría que el jorobado y era motivo de insulto, además de reducir su atractivo como pareja.;"Il personaggio è nato con un piede deforme; spesso un piede è più grande dell'altro. Il personaggio non potrà mai correre e, per fare un solo esempio, gli sarà impossibile partecipare a una battaglia. Fa parte della stessa categoria del gobbo; attirava gli insulti e aveva poche possibilità di trovare una compagna o un compagno.";;;;;;X
TRAIT_NAME_INTESTINAL_WORM;Intestinal Worm;Ver Solitaire;Wurmbefall;Lombriz intestinal;Vermi intestinali;;;;;;X
TRAIT_DESC_INTESTINAL_WORM;The character was born with an intestinal worm that lives inside of their stomach or intestines. This can severely hamper their ability to grow properly, as the worms will deplete the amount of nutrition and if the person survives into maturity, will leave them weak and feeble both physically and mentally. (Effects: -1 to all attributes, -5 Health, -2 Fertility);Le personnage a attrapé un ver solitaire (ténia) qui vit dans ses intestins. Cela peut gravement entraver sa possibilité de grandir correctement, car les vers réduiront la quantité de nourriture et si la personne survit durant sa croissance, elle restera faible et sans force à la fois physiquement et mentalement.;Der Charakter wurde mit einem Wurm geboren, der innerhalb seines Magens oder seiner Eingeweide lebt. Das kann dazu führen, das der Charakter nicht richtig wächst, da der Wurm dem Körper die nötigen Nährstoffe entzieht. Sollte die Person bis zum Erwachsenenalter überleben, dann wird sie sowohl physisch als auch geistig schwach und kraftlos sein.;El personaje nace con una lombriz intestinal que vive en su estómago o intestinos. Puede afectar seriamente su capacidad de desarrollo, ya que las lombrices le absorben nutrientes, y en caso de llegar a la madurez, serán personas débiles y achacosas tanto física como mentalmente.;Il personaggio è nato con vermi che vivono all'interno del suo stomaco o dell'intestino. I vermi possono limitare notevolmente la crescita del personaggio, perché gli sottraggono nutrimento. Se la persona riesce a sopravvivere fino alla maturità, sarà comunque indebolita sia fisicamente che mentalmente.;;;;;;X
TRAIT_NAME_LISP;Lisp;Zézaiement;Lispelnd;Ceceo;Pronuncia blesa;;;;;;X
TRAIT_DESC_LISP;The character was born with a speech impediment known simply as a Lisp. The person has trouble enunciating words correctly and will no doubt be the butt of jokes as others mock them. (Effects: -1 Diplomacy);Le personnage est né avec un problème d'élocution connu sous le nom de Zézaiement. La personne a des problèmes pour prononcer correctement les mots et sera sans aucun doute en butte aux moqueries des autres. ;Der Charakter wurde mit einem hörbaren Lispeln geboren, was ihm Probleme beim Sprechen bereitet. Das macht Interaktionen mit anderen im günstigsten Fall problematisch, und mit dem Charakter wird nicht so wohlwollend umgesprungen, wie es sonst der Fall wäre.;El personaje nace con un defecto del habla conocido como ceceo. Tiene problemas para pronunciar bien ciertas palabras, por lo que sin duda será blanco de chistes y burlas.;Il personaggio è nato con un impedimento del linguaggio conosciuto con il nome di pronuncia blesa. Queste persone non riescono a pronunciare correttamente le parole e senza dubbio saranno schernite.;;;;;;X
TRAIT_NAME_STUTTER;Stutter;Bégaiement;Stotternd;Tartamudeo;Balbuzie;;;;;;X
TRAIT_DESC_STUTTER;The character was born with a speech impediment known as a Stutter. They tend to have trouble at pronouncing words, and becomes stuck on a syllable, making it impossible to have a proper conversation. This will also be a source of humiliation for the individual as they are excluded from discussions and will no doubt be mocked for it. (Effects: -1 Diplomacy);Le personnage est né avec un problème d'élocution connu sous le nom de Bégaiement. Il a des problèmes pour prononcer des mots, et reste bloqué sur une syllabe, rendant impossible toute véritable conversation. C'est une source d'humiliation car il est exclu de bien des discussions et on se moque sûrement de lui.;Der Charakter wurde mit einem heftigen Stottern geboren, was ihm Probleme beim Sprechen bereitet. Er neigt dazu, beim Aussprechen von Wörtern Schwierigkeiten zu haben, und bleibt häufig an einer Silbe hängen. Das macht es für ihn unmöglich, ein richtiges Gespräch zu führen. Der Charakter wird von Diskussionen ausgeschlossen und zum Ziel von Erniedrigungen und Spott durch andere Personen.;El personaje nace con un defecto del habla conocido como tartamudeo. Suele tener problemas de pronunciación, ya que tiende a encallarse en alguna sílaba, lo cual le impide desarrollar adecuadamente una conversación. Además será motivo de humillación para el individuo ser excluido de las discusiones y sufrir burlas.;Il personaggio è nato con un impedimento del linguaggio noto con il nome di balbuzie. Ha problemi nel parlare perché resta bloccato su una sillaba, rendendo impossibile una normale conversazione. Ciò rappresenterà una fonte di umiliazione per il personaggio, che sarà escluso dalle discussioni e, senza dubbio, schernito.;;;;;;X
TRAIT_NAME_INBRED;Inbred;Consanguin;Inzüchtig;Endogámico;Endogamico;;;;;;X
